id,category,item,specification,quantity,required,evidence,source,buy_link
P01,printed part,anti_slip_ring,TPU 95A; exact file 3MF/anti_slip_ring.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P02,printed part,shell_base,ASA; exact file 3MF/shell_base.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P03,printed part,shell_grille,ASA; exact file 3MF/shell_grille.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P04,printed part,shell_crown,ASA; exact file 3MF/shell_crown.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P05,printed part,shell_base_fabric,ASA; exact file 3MF/shell_base_fabric.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P06,printed part,shell_grille_fabric,ASA; exact file 3MF/shell_grille_fabric.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P07,printed part,shell_crown_fabric,ASA; exact file 3MF/shell_crown_fabric.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P08,printed part,main_cabinet,ASA; exact file 3MF/main_cabinet.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P09,printed part,pressure_divider,ASA; exact file 3MF/pressure_divider.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P10,printed part,mic_isolation_bushing,TPU 95A; exact file 3MF/mic_isolation_bushing.3mf,4,yes,VERIFIED_DIGITALLY,this release,printed by you
P11,printed part,active_driver_clamp_ring,ASA; exact file 3MF/active_driver_clamp_ring.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P12,printed part,passive_radiator_clamp_ring,ASA; exact file 3MF/passive_radiator_clamp_ring.3mf,2,yes,VERIFIED_DIGITALLY,this release,printed by you
P16,printed part,cable_gland,TPU 95A; exact file 3MF/cable_gland.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
P17,service tool,leak_test_adapter,TPU 95A; exact file 3MF/leak_test_adapter.3mf,1,yes,VERIFIED_DIGITALLY,this release,printed by you
