item,category,quantity,material,source,evidence
anti_slip_ring,printed part,1,TPU 95A,"this repository, exports/step",VERIFIED_DIGITALLY
outer_shell,printed part,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
main_cabinet,printed part,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
pressure_divider,printed part,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
electronics_shroud,printed part,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
active_driver_clamp_ring,printed part,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
passive_radiator_clamp_ring,printed part,2,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
divider_gasket,printed part,1,2 mm closed-cell EPDM,"this repository, exports/step",VERIFIED_DIGITALLY
driver_gasket,printed part,1,2 mm closed-cell EPDM,"this repository, exports/step",VERIFIED_DIGITALLY
passive_radiator_gasket,printed part,2,2 mm closed-cell EPDM,"this repository, exports/step",VERIFIED_DIGITALLY
cable_gland,printed part,1,TPU 95A,"this repository, exports/step",VERIFIED_DIGITALLY
base_skirt,printed part,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
bottom_service_plate,printed part,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
ballast_cartridge,printed part,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
ballast_cartridge_lid,printed part,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
coupon_official_interface,fit coupon,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
coupon_active_driver,fit coupon,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
coupon_passive_radiator,fit coupon,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
coupon_heat_set_insert,fit coupon,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
coupon_gasket_base,fit coupon,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
coupon_gasket_cap,fit coupon,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
coupon_cable_passage,fit coupon,1,ASA,"this repository, exports/step",VERIFIED_DIGITALLY
Dayton Audio ND91-4,acoustic component,1,-,references/manufacturer/Dayton_ND91-4_spec_2026-02-26.pdf,DERIVED_FROM_MANUFACTURER_DRAWING
SB Acoustics SB12PACR-00,acoustic component,2,-,references/manufacturer/SB_Acoustics_SB12PACR-00.pdf,DERIVED_FROM_MANUFACTURER_DRAWING
"FutureProofHomes Satellite1 development kit (Core + HAT, Batch 1)",official hardware,1,-,reference-assets/MANIFEST.csv,DERIVED_FROM_OFFICIAL_CAD
"Official Squircle upper stack: mid-plate, threads, top plate, PCB spacer, lock ring",official printed part,1,ASA or PETG,reference-assets/official/Satellite1-Enclosures,DERIVED_FROM_OFFICIAL_CAD
"M3 x 0.5 A2 socket/button head screws, assorted lengths per schedule",hardware,40,A2 stainless,reports/validation/fasteners.json,VERIFIED_DIGITALLY
M3 heat-set inserts Oe4.6 x 5.7 mm,hardware,40,brass,reports/validation/fasteners.json,VERIFIED_DIGITALLY
2.0 mm closed-cell EPDM sheet,consumable,1,EPDM,cut from exports/step gasket profiles,VERIFIED_DIGITALLY
Mild-steel ballast plates 110 x 122 x 5 mm,ballast,2,mild steel,cut to size,ENGINEERING_ESTIMATE
"Speaker cable, 2 core, 1.0 mm2, 350 mm",consumable,1,copper/PVC,-,ENGINEERING_ESTIMATE
"Added radiator tuning mass, M6 hardware, per radiator",acoustic tuning,2,steel,reports/acoustics/summary.json,ENGINEERING_ESTIMATE
