part,quantity,material,print_orientation,source_commit,step_sha256,stl_sha256,three_mf_sha256
anti_slip_ring,1,TPU 95A,flat,bc427b6f9f894dc20ea2b87211a7967f880908ca,5a84f9bdf805e02cbf3f550a3115018dd672a9972e8e835e18b267df7ea4bb90,5cb07019997d86ed62ab2cc758156639fee7a50688fb2feba89f11040bb3e3ac,a524ad5ca65a0d4989a37a95c5876538ebdbe0ea65e446991b772e657dd92da3
outer_shell,1,ASA,"upright, base band on the bed",bc427b6f9f894dc20ea2b87211a7967f880908ca,45dcdca86ee06607236eb74d3cb46b7ba1d13b55295f41cf0c0f6c5b9d865f63,27b4bcd934c82676375f7391258c7868e0521c22d17883a95d5da817d3be6477,e7872d8bba54264610b4095ea3ac533b73c8183a884fbd9a47ac72e27b4e688b
main_cabinet,1,ASA,"upright, acoustic floor on bed",bc427b6f9f894dc20ea2b87211a7967f880908ca,402d4c36e5edfda6a65645caa6871a4dbc8123598debc7b1bd4af85a6d5455ee,5e35296967df0c444d2cdfdc3928ceb179c64e5235fd454c24be23e5fb3aed59,8d029e11ccb711572ed1262342d0a69817b2ae97d77df2d4d74a7ddfdbdc3288
pressure_divider,1,ASA,"flat, acoustic face on bed",bc427b6f9f894dc20ea2b87211a7967f880908ca,5128c93c3e16585b557c722777147964919448ae3ee606eafb9d62f31268143d,55c361c2a54dbe99d9f6d70772c8162a853eb6a86b0e22a440fe87cfe0b1460b,f485583773c476a062f0ef484873178f6f9d0ffa839bf96993ac7fc0388b7459
electronics_shroud,1,ASA,wide divider end on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,725566b322174e0e8e11f9270737ab70c62818d79b0f92527767b5afe06d4537,052ade4ba2653ef07b5a95455535c535ecca49b346fc6095251f08da2b5093e5,835a7a8bd466df3d9c0bbf859c007150fcf7b209fe7aebda533fa5aead7c8d61
active_driver_clamp_ring,1,ASA,lip face on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,b50c93a4eebc3f7bdcaa9223acb9a59df3898cc4c8611e7d7ea22471e7c9c691,67defc5397212506c4d2db2ebd8e572ee922994fd4a05708d9172d14f9fb4f0f,9abb2fde9397f954399f617c8abf21c63ee2b938efedce684294d149ca953f0b
passive_radiator_clamp_ring,2,ASA,lip face on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,5bda594f403a79bde824374445a8c94f7714e18c085d08862f5d6c16660fe126,dc65917715d30e0e8469d7dfc534e5ecebd555c48f0e72319ae03724719ad188,93226b5b5a76b450c54feb87458e29035fa1e0f647968339efdfcc864db4d3b9
divider_gasket,1,2 mm closed-cell EPDM,flat,bc427b6f9f894dc20ea2b87211a7967f880908ca,c6dcf34010d54088b9831b6bc8f5a0283276b1223ae90e1acdee110ae07e03f7,396a47bfb44a9e82e49bc6f37d977f1b0826f40a03c5d3a301b43ce80a44d528,4e7663934ae793490af1caff6d2d3984887b6e2c796957bda1dbc6c86d95d686
driver_gasket,1,2 mm closed-cell EPDM,flat,bc427b6f9f894dc20ea2b87211a7967f880908ca,99ffa6fd600ac26d4abd0a2b013b3440c217102529820537b8e1d365edef651f,8b51203446a2d57328d7e93788f92a1cafa228e394ceaa49a7d811a59e3705b5,a84508f79fbec1e75f0d0a6440c89c0b1366f7eddec896919126873883b92011
passive_radiator_gasket,2,2 mm closed-cell EPDM,flat,bc427b6f9f894dc20ea2b87211a7967f880908ca,b1cb2bef3429531b4d214b67a84483dbc6127d7eed63c121a2e952ad4532b0fc,e5af07ca4868cf1352eaaa6204ea9be0e6278b3f2cca460ad9e10f7cfa2fc5a3,332bab9d53a8117ad207f1552174da96283f9ba24a5d7569046fdabfb43a7b62
cable_gland,1,TPU 95A,body end on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,dd1d27592cf52144175b343a034996075a3ca6bf66cf46fac6e4290eb4a20959,138212ffbbd31028b12c122dadc5f6f667a95e22cd1436e8e2e46178636a1ee3,797af2308ddec956eaca547e7189c2a542e1f8da73988f9f373491d5533b7e5d
leak_test_adapter,1,TPU 95A,"flange on bed; temporary service tool, not installed in service",bc427b6f9f894dc20ea2b87211a7967f880908ca,8fec8c14d448ac1f472ac44a33ada5b1cce5b7b8a9f4b999d5b0becbb1e66c5d,c85cd1d8e4645b99751730bfbb4cf0894a7671d97eb27934a46885ef0c072dfa,0f0ebebe630bbd0510c5e3518adedde026891345ec865dcce9f7d4b79e8d5f8f
base_skirt,1,ASA,service opening on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,53aad0c37307492d5bf6bdf978684648dff6c4ace347d66d0b5b0c6df1d7e3a4,1c8b342434ec4a435a7f998d3de896e8ae4609e707f1530a6d48ab3e87038a29,409aa972ff865759b956d6307f3f64b3ce8bc0cbacc5c8be791de6d8ee07eba4
bottom_service_plate,1,ASA,exterior face on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,380366bef86553103ae50580409882496c4abdef48e3774029d838244de24af4,cb5960673998e0846eec81248efe56366a6c56a5923e3b43763fab730bf50ce0,26b877d0a0fdb0fbf952c1b312e1a4610eb3b849882d280805c62b7cd2b5b9be
ballast_cartridge,1,ASA,tray floor on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,f5d1125139014baec0afa43482e5c2a805217ef99f086f46992de134f6c658bd,3385338eaff0f7447d1afdba5772ec5ce7a7ae6851efb1dc26ac1d7be60d36ab,9c61dac444e5c8340140a2027563d1738ed61bd4d4255dec90652050a7eb9790
ballast_cartridge_lid,1,ASA,tongue face on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,740bc7753bb37146c4a1a7c8afa4f68fc20f2ea5c0f361d4e275cfb64057b5ff,32c3eb56fd5a4b6799ba5d41b5824d35eb756e6ab2210a78f3abb007943de2f5,74da5fa01e2cb8ec81323b6110146dc7f16a7986d16a57b0e76f48e7f8af6e67
coupon_official_interface,1,ASA,largest flat face on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,73e74de45edc1a99dcae751c966226994ce0159168c12283783762d883cda16f,ea655c4c83ab3f19e25e51f2d64baf8bc563c6e44db20e393eaa46f568f36043,1fbc307575f4507f84cde59f95e982dc1890f54dabd8d9120a2a41698747e996
coupon_active_driver,1,ASA,largest flat face on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,5c7dcd791663c185ea4fc0e11c76e052b5d5d530c20520779e1b72aed0175451,4cf0df2336f5435a90629d89f3f2b251d4db008789489184ad2c13e9bb63c5ca,c6ac8576a5597be1aaf87b09085c6c2fa0e2da3ca304d18cb3dfbcae78867798
coupon_passive_radiator,1,ASA,largest flat face on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,15c051b89bb93832cd14e21571ed70087ae360436929062cf047a1707b7557b0,aa3457cd83357be8bb7f2d45d4be4f99b5781daed212994fb7c5a018c840e5c5,26497ad370548e4e1811d0d67dcc752c352c49d874f10b6d1a190f856f92425c
coupon_heat_set_insert,1,ASA,largest flat face on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,9b254027f851313a68df48ae6d971fda183055b77f95c712221d6abd63243d38,126cbce18e5e62482e98927b2db260d56817ec47b95ef06a8112d23b8b9c1996,96f4a4a53a5a7c3c0df0433ae896b1936dd953644bd423884306c5e9ed0383a0
coupon_gasket_base,1,ASA,largest flat face on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,96cff16ea7865d0ad065571820f91641792165d4ff4a2423d2e31cd1b9289629,bd7e39cc9a9b534c9db62d9f9fdb4bc5cd75d9432143c80f116e22691015c72d,e99857de8b09e1e35b7a24948638b66433a3f0b46a341187e4c69a189b57a598
coupon_gasket_cap,1,ASA,largest flat face on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,758c75c34c073ebfe35134922501a78a4fe53b826dd3d1d3ed45096472a6cc8a,4e437028f3c4da3ce93ff7a7213829b5190407cd830e3160e8de58c31f3e23df,5a0b1015dbe8584bc5a1f7ccf3a940a620aa41e775a1d94e091fe7d76df6a142
coupon_cable_passage,1,ASA,largest flat face on bed,bc427b6f9f894dc20ea2b87211a7967f880908ca,e207ad7a706f4558f0e8702208b9a86fc8f146d0de56d207b67c549f751d5d2a,0c7eb39c38ae3fd33ca31eb160cf78261a1757468892268d892551f89a082f65,453aaa304195187ef57a451e70843ac64bb33ede503dd8ff29bc4d25b4b35254
