id,standard,thread,length_mm,head,material,quantity,washer,insert,engagement_mm,torque_guidance_nm,tool,assembly_joint,seal_requirement,purchasing_specification
F01,ISO 4762,M3 x 0.5,6.0,socket cap,A2 stainless,4,none,"M3 heat-set, Ø4.6 x 5.7 mm into a Ø4.2 x 7.2 mm bore",5.0,0.35 target; 0.45 maximum,2.0 mm hex key,official mid-plate to pressure divider,none,ISO 4762 A2-70 stainless
F02,ISO 7380-1,M3 x 0.5,8.0,button head,A2 stainless,4,none,"M3 heat-set, Ø4.6 x 5.7 mm into a Ø4.2 x 7.2 mm bore",5.0,0.35 target; 0.45 maximum,2.0 mm hex key,electronics shroud to pressure divider,none,ISO 7380-1 A2-70 stainless
F03,ISO 4762,M3 x 0.5,10.0,socket cap,A2 stainless,8,none,"M3 heat-set, Ø4.6 x 5.7 mm into a Ø4.2 x 7.2 mm bore",4.5,0.35 target; 0.45 maximum,2.0 mm hex key,pressure divider to cabinet,clamps G01,ISO 4762 A2-70 stainless
F04,ISO 4762,M3 x 0.5,10.0,socket cap,A2 stainless,4,none,"M3 heat-set, Ø4.6 x 5.7 mm into a Ø4.2 x 7.2 mm bore",5.0,0.35 target; 0.45 maximum,2.0 mm hex key,active-driver clamp ring to cabinet,clamps G02,ISO 4762 A2-70 stainless
F05,ISO 4762,M3 x 0.5,10.0,socket cap,A2 stainless,8,none,"M3 heat-set, Ø4.6 x 5.7 mm into a Ø4.2 x 7.2 mm bore",5.0,0.35 target; 0.45 maximum,2.0 mm hex key,passive-radiator clamp ring to cabinet (each),clamps G03,ISO 4762 A2-70 stainless
F06,ISO 7380-1,M3 x 0.5,8.0,button head,A2 stainless,4,none,"M3 heat-set, Ø4.6 x 5.7 mm into a Ø4.2 x 7.2 mm bore",4.5,0.35 target; 0.45 maximum,2.0 mm hex key,ballast cartridge lid to cartridge,none,ISO 7380-1 A2-70 stainless
F07,ISO 4762,M3 x 0.5,10.0,socket cap,A2 stainless,4,none,"M3 heat-set, Ø4.6 x 5.7 mm into a Ø4.2 x 7.2 mm bore",5.0,0.35 target; 0.45 maximum,2.0 mm hex key,base skirt to cabinet,none,ISO 4762 A2-70 stainless
F08,ISO 7380-1,M3 x 0.5,8.0,button head,A2 stainless,4,none,"M3 heat-set, Ø4.6 x 5.7 mm into a Ø4.2 x 7.2 mm bore",4.0,0.35 target; 0.45 maximum,2.0 mm hex key,bottom service plate to base skirt,none,ISO 7380-1 A2-70 stainless
F09,ISO 7380-1,M3 x 0.5,8.0,button head,A2 stainless,4,nylon washer,"M3 heat-set, Ø4.6 x 5.7 mm into a Ø4.2 x 7.2 mm bore",4.0,0.35 target; 0.45 maximum,2.0 mm hex key,outer shell to bottom service plate,none,ISO 7380-1 A2-70 stainless
F10,ISO 4762,M3 x 0.5,8.0,socket cap,A2 stainless,4,none,none; unmodified official printed pilot,4.0,0.35 target; 0.45 maximum,2.0 mm hex key,official HAT and PCB spacer to official top plate,none,ISO 4762 A2-70 stainless
F11,ISO 4762,M3 x 0.5,8.0,socket cap,A2 stainless,4,none,none; unmodified official printed pilot,7.0,0.35 target; 0.45 maximum,2.0 mm hex key,official mid-plate to official threaded plate,none,ISO 4762 A2-70 stainless
