path,occt_valid,solid_count,shell_count,solid_volume_mm3,xmin_mm,ymin_mm,zmin_mm,x_size_mm,y_size_mm,z_size_mm_or_error
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/General Parts/(Optional) Dev Kit UFO Base for No Speaker.step,True,1,1,22136.036796,-46.200000,-45.200000,-11.800000,92.400000,92.400000,9.800000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/General Parts/1.5mm Wire Cover.step,True,1,1,918.021320,-1.500000,-1.400000,-10.450000,14.000001,8.900000,11.950000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/General Parts/1mm Wire Cover.step,True,1,1,943.482598,-1.500000,-1.400000,-10.450000,14.000001,8.900000,11.950000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/General Parts/2mm Wire Cover.step,True,1,1,882.802532,-1.500000,-1.400000,-10.450000,14.000001,8.900000,11.950000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/General Parts/Dev Kit UFO Enclosure.step,True,2,2,17831.371993,-46.200000,-45.200000,-5.000000,92.400000,92.400000,16.200000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/General Parts/Lock Ring.step,True,1,1,15762.243773,-46.250000,-4.000000,-46.250000,92.500000,12.000000,92.500000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/General Parts/Speaker Chamber Threaded.step,True,1,1,82349.982463,-46.200000,-45.200000,-76.038656,92.400000,92.400000,74.038656
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/General Parts/Speaker Stand.step,True,1,1,82630.442103,-46.250000,-2.500000,-46.250000,92.500000,42.500000,92.500000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/Speaker - Dayton Audio RS75-4/Speaker Adapter - RS75-4.step,True,1,1,37729.685205,-46.250000,-46.250000,-2.000000,92.500000,92.500000,16.950000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/Speaker - GRS 3FR-4/Speaker Adapter - GRS 3FR-4.step,True,1,1,29480.266283,-53.750000,-53.750000,-2.000000,107.500000,107.500000,18.950000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/Speaker - GRS 3FR-4/Speaker Lock Ring - GRS 3FR-4.step,True,1,1,15915.435912,-53.750000,-4.000000,-53.750000,107.500000,12.000000,107.500000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/Speaker - GRS 3FR-4/Speaker Stand - GRS 3FR-4.step,True,1,1,88869.834704,-53.750000,-2.500000,-53.750000,107.500000,42.500000,107.500000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Cylindrical Enclosures/Geometry Files/STEP/Speaker - TEBM46C - 20N/Speaker Adapter - TEBM46C-20N.step,True,1,1,40975.058701,-46.250000,-46.250000,-2.000000,92.500000,92.500000,18.950000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/In Ceiling Enclosures/geometry/STEP/In Ceiling Mini Enclosure.step,True,2,3,53008.259942,-61.500000,-61.500000,-7.000000,123.000000,123.000000,42.000000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Mid-Plate/Mid-Plate Threads.step,True,1,1,16212.584424,-52.000000,-52.000000,140.600000,104.000000,104.000000,10.595000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Mid-Plate/Mid-Plate.step,True,1,1,113416.199202,-55.000000,-55.000000,114.300000,110.000000,110.000000,29.700000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Speaker Chamber/15-Watt Speaker Chamber.step,True,1,1,136292.513814,-55.000000,-55.000000,57.500000,110.000000,110.000000,83.300000
reference-assets/official/Satellite1-Enclosures/DIY Enclosures/Squircle Enclosures/Geometry Files/STEP/Speaker Chamber/25-Watt Speaker Chamber Anti-Slip Ring.step,True,1,1,2731.783936,-48.250000,-48.250000,-6.100000,96.500000,96.500000,4.000000
